TGVPORTO       2133HHHHHHHHHH  
TGVMALAGA      2134HHHHHH      
TERMONS        2138            
TGVOSLO        2140HHHHHHH     
TERDIEPPE      2141HH          
CORGAND        2142HHH         
TGVLISBONNE    2143HHHHHHHHHH  
TGVMADRID      2146HHHHHHHHHH  
TGVALENCE      2148HHHHHH      
TGVGLASGOW     2200HHHHHHHHHH  
TGVLYON        2203            
TGVLILLE       2204HHHH        
TGVPARIS       2206            
TGVSTRABOURG   2207H           
TGVMARSEILLE   2212HHHHHH      
TGVLENS        2222H           
TGVARRAS       2226H           
CORBREST       2228HHH         
TGVTOULOUSE    2233HHHHHHHHHH  
CORANGERS      2236HH          
TGVBRUXELLES   2244            
TGVLONDRES     2248            
TGVTOULON      2251HHHHHHHHH   
TGVNICE        2252HHHHHHHHHH  
TGVCANNES      2257HHHHHHHHH   
TGVASTON       2306H           
TGVSAINTE      2311HHH         
TGVMENTON      2315HHH         
TERGRENOBLE    2318HHHHHHH     
CORSAINTMALO   2324HH          
CORLORIENT     2336HHH         
TGVNANTES      2340HHHHH       
TGVBERLIN      2343HHHHHH      
TERCHERBOURG   2346H           
TGVPRAGUE      2351            
TERANNECY      0001H           
TGVGENEVE      0016            
TGVLAUSANNE    0021            
TGVBERNE       0023            
TGVSAINT GAL   0036            
TGVLUCERNE     0042            
TGVROME        0048H           
TGVVENISE      0056HHHHH       
TGVVIENNE      0101H           
TGVAMSTERDAM   0107H           
TGVANVERS      0117H           
